personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints,teamName,Q
1628969,Mikal,Bridges,M. Bridges,mikal-bridges,F,,,12:00,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,1,1,0,0,0,2,-13.0,Suns,1
203109,Jae,Crowder,J. Crowder,jae-crowder,F,,,7:55,1,3,0.333,0,2,0.0,0,0,0.0,0,3,3,0,2,0,2,2,2,-4.0,Suns,1
1629028,Deandre,Ayton,D. Ayton,deandre-ayton,C,,,11:05,1,6,0.167,0,0,0.0,0,1,0.0,1,0,1,0,2,0,1,1,2,-10.0,Suns,1
1626164,Devin,Booker,D. Booker,devin-booker,G,,,12:00,1,5,0.2,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,-13.0,Suns,1
101108,Chris,Paul,C. Paul,chris-paul,G,,,8:50,1,3,0.333,1,1,1.0,0,0,0.0,0,0,0,2,0,0,1,0,3,-7.0,Suns,1
1629661,Cameron,Johnson,C. Johnson,cameron-johnson,,,,4:05,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-9.0,Suns,1
1626163,Frank,Kaminsky,F. Kaminsky,frank-kaminsky,,,,0:55,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-3.0,Suns,1
1626166,Cameron,Payne,C. Payne,cameron-payne,,,,3:10,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,5,-6.0,Suns,1
200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,8:50,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,7.0,Bucks,1
203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,10:19,3,5,0.6,0,1,0.0,4,4,1.0,1,5,6,0,0,1,1,0,10,14.0,Bucks,1
201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,10:19,2,3,0.667,0,1,0.0,0,0,0.0,1,2,3,0,1,0,0,0,4,14.0,Bucks,1
203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,8:50,3,5,0.6,1,2,0.5,0,0,0.0,0,3,3,2,2,0,3,1,7,7.0,Bucks,1
201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,12:00,1,6,0.167,0,1,0.0,0,0,0.0,1,3,4,4,2,0,2,0,2,13.0,Bucks,1
1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,4:51,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,5.0,Bucks,1
1626171,Bobby,Portis,B. Portis,bobby-portis,,,,4:51,2,3,0.667,2,3,0.667,0,0,0.0,0,1,1,0,0,0,0,0,6,5.0,Bucks,1
1628969,Mikal,Bridges,M. Bridges,mikal-bridges,F,,,7:32,1,1,1.0,0,0,0.0,1,2,0.5,0,2,2,0,1,0,0,1,3,12.0,Suns,2
203109,Jae,Crowder,J. Crowder,jae-crowder,F,,,10:53,0,0,0.0,0,0,0.0,2,2,1.0,0,5,5,0,0,0,0,0,2,18.0,Suns,2
1629028,Deandre,Ayton,D. Ayton,deandre-ayton,C,,,9:56,1,3,0.333,0,0,0.0,4,4,1.0,0,3,3,0,0,2,1,1,6,16.0,Suns,2
1626164,Devin,Booker,D. Booker,devin-booker,G,,,10:15,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,10.0,Suns,2
101108,Chris,Paul,C. Paul,chris-paul,G,,,10:32,5,7,0.714,0,0,0.0,0,0,0.0,0,0,0,2,1,0,0,2,10,16.0,Suns,2
1629661,Cameron,Johnson,C. Johnson,cameron-johnson,,,,5:35,1,1,1.0,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,0,3,6.0,Suns,2
1626163,Frank,Kaminsky,F. Kaminsky,frank-kaminsky,,,,1:21,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2.0,Suns,2
1626166,Cameron,Payne,C. Payne,cameron-payne,,,,3:13,2,3,0.667,1,1,1.0,0,0,0.0,0,1,1,0,0,0,1,0,5,10.0,Suns,2
1628470,Torrey,Craig,T. Craig,torrey-craig,,,,0:44,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Suns,2
200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,8:47,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-8.0,Bucks,2
203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,10:42,3,5,0.6,0,0,0.0,1,2,0.5,1,0,1,0,0,2,2,0,7,-16.0,Bucks,2
201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,6:21,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,2,0,-14.0,Bucks,2
203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,8:48,0,3,0.0,0,2,0.0,2,2,1.0,0,1,1,0,1,0,0,2,2,-11.0,Bucks,2
201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,10:17,0,5,0.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,0,0,-13.0,Bucks,2
1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,9:38,0,2,0.0,0,2,0.0,0,0,0.0,1,2,3,0,0,0,1,0,0,-20.0,Bucks,2
1626171,Bobby,Portis,B. Portis,bobby-portis,,,,3:44,1,2,0.5,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,1,4,-3.0,Bucks,2
201952,Jeff,Teague,J. Teague,jeff-teague,,,,1:43,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5.0,Bucks,2
1628969,Mikal,Bridges,M. Bridges,mikal-bridges,F,,,7:56,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,1,2,-10.0,Suns,3
203109,Jae,Crowder,J. Crowder,jae-crowder,F,,,12:00,2,4,0.5,2,4,0.5,1,1,1.0,0,1,1,0,1,1,0,1,7,-5.0,Suns,3
1629028,Deandre,Ayton,D. Ayton,deandre-ayton,C,,,7:51,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,2,-10.0,Suns,3
1626164,Devin,Booker,D. Booker,devin-booker,G,,,12:00,4,7,0.571,0,1,0.0,3,3,1.0,0,0,0,2,0,0,3,1,11,-5.0,Suns,3
101108,Chris,Paul,C. Paul,chris-paul,G,,,7:51,2,5,0.4,0,0,0.0,0,0,0.0,1,0,1,1,0,0,1,1,4,-10.0,Suns,3
1629661,Cameron,Johnson,C. Johnson,cameron-johnson,,,,4:09,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,5.0,Suns,3
1626163,Frank,Kaminsky,F. Kaminsky,frank-kaminsky,,,,4:04,2,2,1.0,0,0,0.0,0,0,0.0,1,0,1,1,1,0,0,0,4,5.0,Suns,3
1626166,Cameron,Payne,C. Payne,cameron-payne,,,,4:04,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,5.0,Suns,3
1628470,Torrey,Craig,T. Craig,torrey-craig,,,,0:05,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Suns,3
200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,10:03,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,0,0,7.0,Bucks,3
203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,11:41,6,10,0.6,1,2,0.5,7,7,1.0,1,2,3,1,0,0,2,1,20,7.0,Bucks,3
201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,8:56,3,5,0.6,0,1,0.0,0,0,0.0,1,3,4,0,0,0,0,0,6,7.0,Bucks,3
203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,11:00,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,2,8.0,Bucks,3
201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,12:00,2,5,0.4,1,3,0.333,2,2,1.0,0,1,1,3,1,0,1,1,7,5.0,Bucks,3
1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,3:11,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,1,0,-7.0,Bucks,3
1626171,Bobby,Portis,B. Portis,bobby-portis,,,,3:09,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,2,0,-2.0,Bucks,3
1628969,Mikal,Bridges,M. Bridges,mikal-bridges,F,,,12:00,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-7.0,Suns,4
203109,Jae,Crowder,J. Crowder,jae-crowder,F,,,9:45,1,4,0.25,0,3,0.0,2,2,1.0,2,2,4,0,1,0,0,0,4,-5.0,Suns,4
1629028,Deandre,Ayton,D. Ayton,deandre-ayton,C,,,7:20,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,2,-3.0,Suns,4
1626164,Devin,Booker,D. Booker,devin-booker,G,,,12:00,2,7,0.286,0,3,0.0,0,0,0.0,0,1,1,2,0,0,2,3,4,-7.0,Suns,4
101108,Chris,Paul,C. Paul,chris-paul,G,,,12:00,3,4,0.75,0,1,0.0,3,4,0.75,0,1,1,0,0,0,1,2,9,-7.0,Suns,4
1629661,Cameron,Johnson,C. Johnson,cameron-johnson,,,,2:15,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,-2.0,Suns,4
1626163,Frank,Kaminsky,F. Kaminsky,frank-kaminsky,,,,4:40,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-4.0,Suns,4
200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,8:47,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,1,0,0,1,0,7.0,Bucks,4
203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,9:45,4,5,0.8,0,0,0.0,5,6,0.833,1,3,4,1,0,2,1,1,13,5.0,Bucks,4
201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,1:09,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2.0,Bucks,4
203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,12:00,2,4,0.5,0,0,0.0,2,2,1.0,0,1,1,2,0,0,2,0,6,7.0,Bucks,4
201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,12:00,1,3,0.333,1,2,0.5,0,0,0.0,0,3,3,2,1,0,0,0,3,7.0,Bucks,4
1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,5:16,0,1,0.0,0,1,0.0,0,2,0.0,1,2,3,1,0,0,0,0,0,1.0,Bucks,4
1626171,Bobby,Portis,B. Portis,bobby-portis,,,,11:03,3,5,0.6,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,2,6,6.0,Bucks,4
